name,id,name_type,class,mass,fall,year,lat,long,geolocation,countrycode,countryname,continent,sub-region,intermediate-region
Akyumak,433,Valid,"Iron, IVA",50000.0,Fell,1981,39.91667,42.81667,"(39.91667, 42.81667)",TR,Turkey,Asia,Western Asia,
Bahjoi,4922,Valid,"Iron, IAB-sLL",10322.0,Fell,1934,28.48333,78.5,"(28.48333, 78.5)",IN,India,Asia,Southern Asia,
Ban Rong Du,4934,Valid,"Iron, ungrouped",16700.0,Fell,1993,16.66667,101.18333,"(16.66667, 101.18333)",TH,Thailand,Asia,South-eastern Asia,
Cabin Creek,5186,Valid,"Iron, IIIAB",48500.0,Fell,1886,35.5,-93.5,"(35.5, -93.5)",US,United States,Americas,Northern America,
Charlotte,5328,Valid,"Iron, IVA",4300.0,Fell,1835,36.16667,-87.33333,"(36.16667, -87.33333)",US,United States,Americas,Northern America,
Chisenga,5355,Valid,"Iron, IIIAB",3920.0,Fell,1988,-10.059439999999999,33.395,"(-10.05944, 33.395)",MW,Malawi,Africa,Sub-Saharan Africa,Eastern Africa
Garhi Yasin,10860,Valid,"Iron, IIE",380.0,Fell,1917,27.883329999999997,68.53333,"(27.88333, 68.53333)",PK,Pakistan,Asia,Southern Asia,
Hassi-Jekna,11852,Valid,"Iron, IAB-sHL",1250.0,Fell,1890,28.95,0.81667,"(28.95, 0.81667)",DZ,Algeria,Africa,Northern Africa,
Jianshi,12087,Valid,"Iron, IIIAB",600000.0,Fell,1890,30.808329999999998,109.5,"(30.80833, 109.5)",CN,China,Asia,Eastern Asia,
Juromenha,12213,Valid,"Iron, IIIAB",25250.0,Fell,1968,38.74028,-7.27,"(38.74028, -7.27)",PT,Portugal,Europe,Southern Europe,
Kayakent,12268,Valid,"Iron, IIIAB",85000.0,Fell,1961,39.263329999999996,31.78,"(39.26333, 31.78)",TR,Turkey,Asia,Western Asia,
Komagome,12343,Valid,Iron,238.0,Fell,1926,35.73333,139.75,"(35.73333, 139.75)",JP,Japan,Asia,Eastern Asia,
Magnesia,15386,Valid,"Iron, IAB-sHL",5000.0,Fell,1899,37.86667,27.51667,"(37.86667, 27.51667)",TR,Turkey,Asia,Western Asia,
Mariaville,15419,Valid,Iron,340.0,Fell,1898,42.71667,-99.38333,"(42.71667, -99.38333)",US,United States,Americas,Northern America,
Mazapil,15453,Valid,"Iron, IAB-sLL",4000.0,Fell,1885,24.683329999999998,-101.68333,"(24.68333, -101.68333)",MX,Mexico,Americas,Latin America and the Caribbean,Central America
Muzaffarpur,16885,Valid,"Iron, IAB-sHL",1245.0,Fell,1964,26.133329999999997,85.53333,"(26.13333, 85.53333)",IN,India,Asia,Southern Asia,
Nedagolla,16935,Valid,"Iron, ungrouped",4500.0,Fell,1870,18.683329999999998,83.48333000000002,"(18.68333, 83.48333)",IN,India,Asia,Southern Asia,
N'Goureyma,16968,Valid,"Iron, ungrouped",37500.0,Fell,1900,13.85,-4.38333,"(13.85, -4.38333)",ML,Mali,Africa,Sub-Saharan Africa,Western Africa
Ningbo,16980,Valid,"Iron, IVA",14250.0,Fell,1975,29.86667000000001,121.48333000000001,"(29.86667, 121.48333)",CN,China,Asia,Eastern Asia,
N'Kandhla,16983,Valid,"Iron, IID",17200.0,Fell,1912,-28.566670000000002,30.7,"(-28.56667, 30.7)",ZA,South Africa,Africa,Sub-Saharan Africa,Southern Africa
Norfork,16994,Valid,"Iron, IIIAB",1050.0,Fell,1918,36.21667,-92.26666999999999,"(36.21667, -92.26667)",US,United States,Americas,Northern America,
Nyaung,17969,Valid,"Iron, IIIAB",737.6,Fell,1939,21.20833,94.91667,"(21.20833, 94.91667)",MM,Myanmar,Asia,South-eastern Asia,
Palinshih,18077,Valid,Iron,18000.0,Fell,1914,43.48333,118.61667,"(43.48333, 118.61667)",CN,China,Asia,Eastern Asia,
Patti,18118,Valid,Iron,12.0,Fell,1922,38.13333,14.96667,"(38.13333, 14.96667)",IT,Italy,Europe,Southern Europe,
Pitts,18837,Valid,"Iron, IAB-ung",3760.0,Fell,1921,31.95,-83.51666999999998,"(31.95, -83.51667)",US,United States,Americas,Northern America,
Quesa,22360,Valid,"Iron, IAB-ung",10750.0,Fell,1898,39.0,-0.66667,"(39.0, -0.66667)",ES,Spain,Europe,Southern Europe,
Rembang,22585,Valid,"Iron, IVA",10000.0,Fell,1919,-6.7333300000000005,111.36667,"(-6.73333, 111.36667)",ID,Indonesia,Asia,South-eastern Asia,
Rowton,22773,Valid,"Iron, IIIAB",3500.0,Fell,1876,52.76667,-2.51667,"(52.76667, -2.51667)",GB,United Kingdom,Europe,Northern Europe,
Sakauchi,23103,Valid,Iron,4180.0,Fell,1913,35.66667,136.3,"(35.66667, 136.3)",JP,Japan,Asia,Eastern Asia,
Samelia,23115,Valid,"Iron, IIIAB",2462.0,Fell,1921,25.66667,74.86667,"(25.66667, 74.86667)",IN,India,Asia,Southern Asia,
Soroti,23671,Valid,"Iron, ungrouped",2050.0,Fell,1945,1.7,33.63333,"(1.7, 33.63333)",UG,Uganda,Africa,Sub-Saharan Africa,Eastern Africa
Sterlitamak,23724,Valid,"Iron, IIIAB",325000.0,Fell,1990,53.666669999999996,55.98333,"(53.66667, 55.98333)",RU,Russia,Europe,Eastern Europe,
Treysa,24050,Valid,"Iron, IIIAB-an",63000.0,Fell,1916,50.91667,9.18333,"(50.91667, 9.18333)",DE,Germany,Europe,Western Europe,
