name,id,name_type,class,mass,fall,year,lat,long,geolocation,countrycode,countryname,continent,sub-region,intermediate-region
Meteorite Hills 01314,16546,Valid,H5,3.4,Found,2001,-79.68333,159.75,"(-79.68333, 159.75)",AQ,Antarctica,Antarctica,Antarctica,
Jiddat al Harasis 299,35617,Valid,L5,159.59,Found,2005,19.81463,56.44852,"(19.81463, 56.44852)",OM,Oman,Asia,Western Asia,
Queen Alexandra Range 99027,21479,Valid,H5,298.0,Found,1999,-84.0,168.0,"(-84.0, 168.0)",AQ,Antarctica,Antarctica,Antarctica,
Grove Mountains 050132,46427,Valid,L4,0.36,Found,2006,-72.98139,75.25778000000003,"(-72.98139, 75.25778)",TF,French Southern Territories,Africa,Sub-Saharan Africa,Eastern Africa
Allan Hills A77164,1476,Valid,L3.5,38.14,Found,1977,-76.71667,159.66666999999995,"(-76.71667, 159.66667)",AQ,Antarctica,Antarctica,Antarctica,
Yamato 791413,26762,Valid,L6,203.61,Found,1979,-71.5,35.66667,"(-71.5, 35.66667)",ZA,South Africa,Africa,Sub-Saharan Africa,Southern Africa
Hualapai Wash,11917,Valid,L6,240.0,Found,2000,35.86333,-114.19333,"(35.86333, -114.19333)",US,United States,Americas,Northern America,
Yamato 75306,25347,Valid,H6,4.09,Found,1975,-71.5,35.66667,"(-71.5, 35.66667)",ZA,South Africa,Africa,Sub-Saharan Africa,Southern Africa
Elephant Moraine 87741,8291,Valid,L6,39.0,Found,1987,-76.28038000000002,156.45236,"(-76.28038, 156.45236)",AQ,Antarctica,Antarctica,Antarctica,
Hammadah al Hamra 267,11750,Valid,L6,983.0,Found,2000,28.438,12.82933,"(28.438, 12.82933)",LY,Libya,Africa,Northern Africa,
Queen Alexandra Range 93001,19091,Valid,Mesosiderite,1050.8,Found,1993,-84.61702,162.23253,"(-84.61702, 162.23253)",AQ,Antarctica,Antarctica,Antarctica,
Queen Alexandra Range 99668,22114,Valid,LL5,15.0,Found,1999,-84.0,168.0,"(-84.0, 168.0)",AQ,Antarctica,Antarctica,Antarctica,
Meteorite Hills 00788,16022,Valid,L5,35.27,Found,2000,-79.68333,155.75,"(-79.68333, 155.75)",AQ,Antarctica,Antarctica,Antarctica,
